Instrument Name,Acronym,Min frequency [MHz],Max frequency [MHz],Dynamic spectra,Imaging abilities,Full-Stokes measurements,Location,Start date (first availability),End date,Data format,Official Website,Data access,Calibrated science level data products,Quick-looks,Public software tools,Comments
Ventspils International Radio Astronomy Center (VIRAC) RT-32,VIRAC,6300,9300,No,Yes,Not Sure,"Irbene, Latvia",,Active,Solar maps produced from RT-32 spiral scanning (processed + visualised in web system),https://en.virac.eu/,VIRAC web resources / solar-map web system where available,,,,
RT-2 and RT-3 Kislovodsk Mountain Astronomical Station of the Pulkovo Observatory,,6150,9350,No,No,Not Sure,"Kislovodsk Mountain Astronomical Station (Shajatmaz mountain, Russia)",New data from 2002,Active,Real-time plots and archive data tables/plots,http://www.old.solarstation.ru/?lang=en&id=realtime,Radio observations in real time + Radio Data Archive,,,,
Siberian Radioheliograph (SRH),SRH,4000,8000,No,Yes,Yes,"Badary, Russia",Regular observations since 1 July 2016 (first stage SRH),Active,Raw data via FTP (srh48) + daily maps (I and circular polarisation),https://badary.iszf.irk.ru/srhDaily.php,Daily images portal + ftp://badary.iszf.irk.ru/data/srh48,,,ftp://badary.iszf.irk.ru/Public/software,
Solar Submillimeter-wave Telescope (SST),SST,212000,405000,No,No,No,"Leoncito Astronomical Complex (CASLEO), San Juan Province, Argentina",First light April 1999; daily operation since April 2001,Active,Time series / flux measurements and observatory data products,http://www.casleo.gov.ar/instrumental/sst.php,CASLEO/SST data access via project team or archive where available,,,,
Siberian Solar Radio Telescope (SSRT) – Spectropolarimeter 2 – 24 GHz,SSRT,2000,24000,Yes,No,Circular Only,"Badary, Russia",Two polarisation data from 2011,Active,Daily spectropolarimeter data products/images,https://badary.iszf.irk.ru/srhDaily.php,RAO ISTP SB RAS daily images/data portal,,,,Should maybe be included as a single entry with SSRT
Metsähovi Radio Observatory (MRO) – Sunant,MRO - Sunat,11200,11200,No,No,No,"Kylmälä, Finland",Total intensity measurements at 11.2 GHz since Jan 2001,Active,Daily total intensity curves (11.2 GHz),https://www.metsahovi.fi/sun/data/,Plots via Metsähovi solar data browser; research data via Fairdata,,https://www.metsahovi.fi/sun/data/,,Should maybe be included as a single entry with MRO
Space-based,,,,,,,,,,,,,,,,
Jupiter Icy Moons Explorer (JUICE)/Radio Plasma Waves Investigation (RPWI),JUICE/RPWI,0.08,45,Yes,No,Yes,space (Jupiter system),Routine data expected 2031,Active,CDF/ESA PSA products expected,https://www.cosmos.esa.int/web/juice,"Not available yet, should be by 2031 ",,,,Source-locating ability: direction finding (mode-permitting).
Parker Solar Probe (PSP)/FIELDS/Radio Frequency Spectrometer (RFS),PSP/FIELDS/RFS,0.01,19.2,Yes,No,Circular Only,space (down to 0.05au),2/9/2018,Active,CDF,https://fields.ssl.berkeley.edu/,"https://research.ssl.berkeley.edu/data/psp/data/sci/fields/l3/  
https://cdaweb.gsfc.nasa.gov/pub/data/psp/fields/","L3 science calibrated (sfu, flux, V2/Hz) 
L2 partically calibrated (V2/Hz only)",https://parker.gsfc.nasa.gov/crocs.html,,
Solar Orbiter (SolO) /Radio and Plasma Waves (RPW),SolO/RPW,0.004,16.4,Yes,No,Yes,"space (0.3-1au, off earth sun line, out of ecliptic)",10/02/2020,Active,CDF,https://rpw-datacenter.obspm.fr,"soar.esac.esa.int/soar
https://cdaweb.gsfc.nasa.gov/pub/data/solar-orbiter/rpw/science/","L3 science calibrated (sfu, W/m^2/Hz), L2 partially calibrated (V^2/Hz)",https://rpw-datacenter.obspm.fr/spip.php?rubrique15,https://rpw-datacenter.obspm.fr/spip.php?article15,Goniopolarimetric full-Stokes measurements available.
STEREO/SWAVES,STEREO/SWAVES,0.01,16.075,Yes,No,Yes,"space (1au, off earth-sun line)",27/10/2007,Active,"ASCII (dyn spec), binary, CDF (direction finding)",https://www.space.umn.edu/missions/stereo/,https://spdf.gsfc.nasa.gov/pub/data/stereo/,L3 science calibrated (W/m^2/Hz),https://parker.gsfc.nasa.gov/crocs.html,,Source-locating ability: direction finding. Goniopolarimetric full-Stokes measurements available.
WIND/WAVES,WIND/WAVES,0.004,14,Yes,No,No,space (L1),Science data from 1995,Active,"ASCII, binary, IDL binary, CDF","https://spdf.gsfc.nasa.gov/pub/data/stereo/documents/websites/solar-radio/wind/index.html
https://doi.org/10.25935/hegh-1r24 (landing page for Wind/Waves RAD1 L3 ""direction-finding"" CDF data)","https://spdf.gsfc.nasa.gov/pub/data/wind/waves/
https://maser.obspm.fr/repository/wind/waves/wi_wa_rad1_l3_df_v02/data/","L3 science calibrated (W/m^2/Hz), L2 partially calibrated (V^2/Hz)",https://parker.gsfc.nasa.gov/crocs.html,,Source-locating ability: direction finding.
Mars Express/MARSIS,MEX/MARSIS,0.2,7.5,Yes,No,No,space (Mars),Science data from 1995,Active,PDS3,https://www.mps.mpg.de/planetary-science/mars-express-marsis,https://archives.esac.esa.int/psa/ftp/MARS-EXPRESS/MARSIS/,,,,"Not routinely solar focused (Mars sounding), see https://www.aanda.org/articles/aa/pdf/2025/04/aa52877-24.pdf for example solar observation"
MRO/SHARAD,MRO,13.3,26.7,Yes,No,No,space (Mars),,Active,,https://pds-geosciences.wustl.edu/missions/mro/sharad.htm,https://pds-geosciences.wustl.edu/missions/mro/sharad.htm,,,,"Not routinely solar focused (Mars sounding), see https://www.aanda.org/articles/aa/full_html/2024/03/aa47900-23/aa47900-23.html for example"
CASSINI/Radio Plasma Waves Science (RPWS),CASSINI/RPWS,0.001,16.4,Yes,No,Yes,space (Saturn),15/10/1997,15/09/2017,Binary,https://space.physics.uiowa.edu/plasma-wave/cassini/,https://space.physics.uiowa.edu/plasma-wave/cassini/data.html,,,,Source-locating ability: direction finding.
BepiColombo/Plasma Waves Instrument(PWI)/Spectroscopie des Ondes Radio et du Bruit Electrostatique Thermique(SORBET),BC/PWI/SORBET,0.0025,10,Yes,No,Yes (tbc),space (Mercury),18/10/2018,Active,CDF/ESA PSA products expected,https://sorbet-lira.obspm.fr/,"Not available yet, should be November 2027",,,,Start of nominal mission phase expected in 2027.
ULYSSES/Unified Radio and Plasma Waves Experiment (URAP),ULYSSES/URAP,0.00125,0.94,Yes,No,Yes,"space (1.4-5.4au, off earth sun line, out of ecliptic)",06/10/1990,20/06/2009,ASCII,https://spdf.gsfc.nasa.gov/pub/data/ulysses/radio/urap_documents/website/urap/,https://spdf.gsfc.nasa.gov/pub/data/ulysses/radio/,,,,Source-locating ability: direction finding.
Voyager/PRA,,0.0012,40.5,Yes,No,No,space (interstellar),Science data from 1977,Active,PDS/SPDF archive products; binary/CDF-derived products depending on archive,https://pds-ppi.igpp.ucla.edu/mission/Voyager,https://amda.irap.omp.eu/ (API) ?,,,,
JUNO/Waves,,0.000005,40,Yes,No,No,space (Jupiter polar orbit),Science observations from 2016-07-04,Active,PDS archive products; CDF/ASCII through analysis services where available,https://waves-receiver.org/,https://amda.irap.omp.eu/ (API),,,,Source-locating ability: direction finding (mode-permitting).
ICE/ISEE-3,,0.03,2,Yes,No,No,space (L1),12/08/1978,May 1997,Binary,https://heasarc.gsfc.nasa.gov/docs/heasarc/missions/isee3.html,https://spdf.gsfc.nasa.gov/pub/data/isee/isee3/radio_mapping/,,,,"Binary data only, fortran readers archived"
